feature,importance_gain,importance_split
이식된 배아 수,47.012201482692035,47.012201482692035
embryo_transfer_days_x_age,5.057724353402899,5.057724353402899
배아 이식 경과일_missing_flag,4.164121790317282,4.164121790317282
age_bucket_ord,3.2164630967490617,3.2164630967490617
배아 이식 경과일,3.0443801824805887,3.0443801824805887
ivf_transfer_ratio_signal_v3,3.0316514931206786,3.0316514931206786
stored_over_created_ratio,2.3924279863149276,2.3924279863149276
시술 당시 나이,2.2247658745516925,2.2247658745516925
난자 채취 경과일,2.102984991461217,2.102984991461217
created_minus_transferred,2.024481059011956,2.024481059011956
난자 채취 경과일_missing_flag,1.9587048399794182,1.9587048399794182
treatment_source_combo_v3,1.8659863289742114,1.8659863289742114
저장된 배아 수,1.7116355896109314,1.7116355896109314
수집된 신선 난자 수,1.6144734548523536,1.6144734548523536
난자 출처,1.5124531829780217,1.5124531829780217
fresh_minus_mixed,1.4836777252073534,1.4836777252073534
총 생성 배아 수,1.291862583490883,1.291862583490883
age_treatment_combo,1.2082411685652807,1.2082411685652807
ivf_storage_ratio_signal_v3,1.2046350206656415,1.2046350206656415
transfer_over_created_ratio,1.1272544037134196,1.1272544037134196
배란 유도 유형,0.8862425764327122,0.8862425764327122
treatment_time_combo,0.8176697427673592,0.8176697427673592
created_minus_stored,0.5254665748595829,0.5254665748595829
시술 시기 코드,0.42704265894536175,0.42704265894536175
ivf_embryo_age_signal_v3,0.40565419748677833,0.40565419748677833
injected_embryo_ratio,0.3184103668708283,0.3184103668708283
source_combo,0.3141388590262681,0.3141388590262681
해동된 배아 수,0.30997972777429067,0.30997972777429067
난자 기증자 나이,0.30860689686981985,0.30860689686981985
IVF 시술 횟수,0.25341888455286693,0.25341888455286693
배아 생성 주요 이유,0.24618054208449439,0.24618054208449439
클리닉 내 총 시술 횟수,0.23001466504025883,0.23001466504025883
major_infertility_bundle,0.2274986019255361,0.2274986019255361
특정 시술 유형,0.22669685557632638,0.22669685557632638
총 임신 횟수,0.22446232274606823,0.22446232274606823
total_pregnancy_count_ord,0.2118521133053214,0.2118521133053214
embryo_reason_treatment_combo,0.2082907125061605,0.2082907125061605
혼합된 난자 수,0.190038661728464,0.190038661728464
정자 출처,0.18840100134755502,0.18840100134755502
총 출산 횟수,0.18278624680402522,0.18278624680402522
단일 배아 이식 여부,0.17414250020874764,0.17414250020874764
ivf_treatment_count_ord,0.17320901539848005,0.17320901539848005
total_treatment_x_age,0.16982936096149823,0.16982936096149823
미세주입된 난자 수,0.1595176343077767,0.1595176343077767
total_birth_count_ord,0.15945646734430793,0.15945646734430793
불임 원인 - 난관 질환,0.15009235450052968,0.15009235450052968
ivf_total_treatment_load_v3,0.14117914813566523,0.14117914813566523
treatment_age_history_combo_v3,0.13999536764634898,0.13999536764634898
clinic_treatment_count_ord,0.13704706366729685,0.13704706366729685
treatment_specific_combo,0.13172255742610664,0.13172255742610664
파트너 정자와 혼합된 난자 수,0.13042048656488373,0.13042048656488373
ivf_pregnancy_load_v3,0.1298007918217598,0.1298007918217598
정자 기증자 나이,0.12594287750342528,0.12594287750342528
배란 자극 여부,0.1186758735433412,0.1186758735433412
DI 시술 횟수,0.09547828671138124,0.09547828671138124
미세주입 배아 이식 수,0.09544941682248055,0.09544941682248055
IVF 임신 횟수,0.09143350521101805,0.09143350521101805
미세주입에서 생성된 배아 수,0.08974818118297613,0.08974818118297613
treatment_history_combo_v3,0.08811296672837862,0.08811296672837862
pregnancy_gap_x_age,0.08696010134460537,0.08696010134460537
불임 원인 - 남성 요인,0.08384594006324568,0.08384594006324568
embryo_usage_combo,0.07748289743367823,0.07748289743367823
PGS 시술 여부_missing_flag,0.0756883526461433,0.0756883526461433
임신 시도 또는 마지막 임신 경과 연수,0.07535706900418954,0.07535706900418954
ivf_pregnancy_count_ord,0.06771574852740016,0.06771574852740016
난자 혼합 경과일,0.06652569913816918,0.06652569913816918
배아 해동 경과일,0.06463474263708645,0.06463474263708645
해동 난자 수,0.06117828783047583,0.06117828783047583
총 시술 횟수,0.05760320103955592,0.05760320103955592
불명확 불임 원인,0.05716471849983485,0.05716471849983485
IVF 출산 횟수,0.04822897097856352,0.04822897097856352
DI 출산 횟수,0.046051847992075894,0.046051847992075894
동결 배아 사용 여부,0.04286266189146834,0.04286266189146834
infertility_cause_count,0.041554212920744384,0.041554212920744384
PGS 시술 여부,0.041513150602166364,0.041513150602166364
난자 혼합 경과일_missing_flag,0.04041407448265282,0.04041407448265282
불임 원인 - 자궁내막증,0.039654496396941345,0.039654496396941345
di_treatment_count_ord,0.039303937962254544,0.039303937962254544
DI 임신 횟수,0.02524706012843518,0.02524706012843518
ivf_birth_count_ord,0.02521216083956928,0.02521216083956928
미세주입 후 저장된 배아 수,0.023222808192612823,0.023222808192612823
난자 해동 경과일_missing_flag,0.02192763600284545,0.02192763600284545
착상 전 유전 검사 사용 여부_missing_flag,0.019959033128680734,0.019959033128680734
mixed_minus_partner,0.01995852911306585,0.01995852911306585
부부 부 불임 원인,0.01898016750170089,0.01898016750170089
착상 전 유전 검사 사용 여부,0.018946604077670286,0.018946604077670286
저장된 신선 난자 수,0.018915491826404326,0.018915491826404326
total_treatment_count_ord,0.01853318565873104,0.01853318565873104
PGD 시술 여부_missing_flag,0.018090263013010983,0.018090263013010983
난자 해동 경과일,0.018047356195546056,0.018047356195546056
배아 해동 경과일_missing_flag,0.018023399856017936,0.018023399856017936
기증자 정자와 혼합된 난자 수,0.015080431596845915,0.015080431596845915
PGD 시술 여부,0.01465938884770853,0.01465938884770853
불임 원인 - 배란 장애,0.014512086309770966,0.014512086309770966
여성 주 불임 원인,0.014047954844621133,0.014047954844621133
여성 부 불임 원인,0.012062107533383968,0.012062107533383968
대리모 여부,0.01101546563443968,0.01101546563443968
부부 주 불임 원인,0.010879836678976166,0.010879836678976166
남성 주 불임 원인,0.0108254427329588,0.0108254427329588
신선 배아 사용 여부,0.009673434829519904,0.009673434829519904
남성 부 불임 원인,0.009298524915712193,0.009298524915712193
di_pregnancy_count_ord,0.008499336933025032,0.008499336933025032
di_total_treatment_load_v3,0.006357200770196311,0.006357200770196311
착상 전 유전 진단 사용 여부,0.005313417513507698,0.005313417513507698
불임 원인 - 정자 운동성,0.005269080042029972,0.005269080042029972
불임 원인 - 정자 농도,0.004076354974388765,0.004076354974388765
di_birth_count_ord,0.0035519604828317597,0.0035519604828317597
di_pregnancy_load_v3,0.0028979210020148192,0.0028979210020148192
임신 시도 또는 마지막 임신 경과 연수_missing_flag,0.002645786512988256,0.002645786512988256
불임 원인 - 자궁경부 문제,0.0022471134650493027,0.0022471134650493027
partner_mixed_ratio,0.0019978187644452998,0.0019978187644452998
donor_mixed_ratio,0.000919265691810886,0.000919265691810886
기증 배아 사용 여부,0.0008767055828142774,0.0008767055828142774
불임 원인 - 정자 형태,0.0002568432460555391,0.0002568432460555391
불임 원인 - 정자 면역학적 요인,4.169295134922051e-08,4.169295134922051e-08
is_di_flag_v3,0.0,0.0
di_transfer_ratio_signal_v3,0.0,0.0
di_storage_ratio_signal_v3,0.0,0.0
di_embryo_age_signal_v3,0.0,0.0
is_ivf_flag_v3,0.0,0.0
불임 원인 - 여성 요인,0.0,0.0
시술 유형,0.0,0.0
